company_name_label,isin,label,symbol,company_name,promoter_total_pct,pct_IndividualsOrHinduUndividedFamily,num_IndividualsOrHinduUndividedFamily,pct_NonResidentIndividualsOrForeignIndividuals,num_NonResidentIndividualsOrForeignIndividuals,pct_DirectorsAndDirectorsRelatives,num_DirectorsAndDirectorsRelatives,pct_KeyManagerialPersonnel,num_KeyManagerialPersonnel,pct_RelativesOfPromotersOtherThanPromoterGroup,num_RelativesOfPromotersOtherThanPromoterGroup,pct_TrustsWhereAnyPersonBelongingToPromoterAndPromoterGroupIsisTrusteeOrBeneficiaryOrAuthorOfTrust,num_TrustsWhereAnyPersonBelongingToPromoterAndPromoterGroupIsisTrusteeOrBeneficiaryOrAuthorOfTrust,pct_CentralGovernmentOrPresidentOfIndia,num_CentralGovernmentOrPresidentOfIndia,pct_StateGovernmentsOrGovernors,num_StateGovernmentsOrGovernors,pct_ShareholdingByCompaniesOrBodiesCorporatewhereCentralOrStateGovernmentIsPromoter,num_ShareholdingByCompaniesOrBodiesCorporatewhereCentralOrStateGovernmentIsPromoter,pct_ForeignGovernment,num_ForeignGovernment,pct_CentralGovernmentOrStateGovernmentS,num_CentralGovernmentOrStateGovernmentS,pct_ForeignInstitutions,num_ForeignInstitutions,pct_ForeignPortfolioInvestor,num_ForeignPortfolioInvestor,pct_OtherForeignShareholders,num_OtherForeignShareholders,pct_OtherIndianShareholders,num_OtherIndianShareholders,pct_AssociateCompaniesOrSubsidiaries,num_AssociateCompaniesOrSubsidiaries,pct_BodiesCorporateIncludingSubsidiaries,num_BodiesCorporateIncludingSubsidiaries,pct_IndianFinancialInstitutionsOrBanks,num_IndianFinancialInstitutionsOrBanks,natural_pct_sum,natural_num_sum,govt_pct_sum,foreign_non_govt_pct_sum,hufi_num,hufi_pct
SENCO GOLD LTD,INE602W01027,Owner,SENCO,Senco Gold Limited,64.46,16.46,3.0,0.0,0.0,0.0,0.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.490000000000002,4.0,0.0,0.0,3.0,16.46
SANSERA ENGINEERING LTD,INE953O01021,Owner,SANSERA,Sansera Engineering Limited,30.18,30.13,8.0,0.0,0.0,0.0,0.0,0.44,2.0,0.0,0.0,0.0,0.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.57,10.0,0.06,0.0,8.0,30.13
CHALET HOTELS LTD,INE427F01016,Owner,CHALET,Chalet Hotels Limited,67.33,13.01,4.0,0.0,0.0,0.12,1.0,0.01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.32,11.0,0.0,0.0,0.0,0.0,0.0,0.0,13.139999999999999,6.0,0.0,0.0,4.0,13.01
JIO FINANCIAL SERVICES LTD,INE758E01017,Owner,JIOFIN,Jio Financial Services Limited,47.12,0.88,6.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,6.0,0.0,0.0,0.08,39.0,0.0,1.0,0.01,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.24,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,18.0,0.09,0.0,6.0,0.88
ADANI ENERGY SOLUTIONS LTD,INE931S01010,Owner,ADANIENSOL,Adani Energy Solutions Limited,72.73,0.0,2.0,0.0,0.0,0.01,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.98,5.0,59.74,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,6.0,0.0,12.98,2.0,0.0
JSW ENERGY LTD,INE121E01018,Owner,JSWENERGY,JSW Energy Limited,69.27,4.09,12.0,0.01,1.0,0.01,2.0,0.01,1.0,0.0,0.0,0.01,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.16,27.0,0.0,0.0,0.0,0.0,0.0,0.0,4.129999999999999,19.0,0.0,0.0,12.0,4.09
MANKIND PHARMA LTD,INE634S01028,Owner,MANKIND,Mankind Pharma Limited,72.66,18.15,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.51,3.0,0.0,0.0,0.0,0.0,0.0,0.0,18.15,11.0,0.0,0.0,10.0,18.15
SUPREME INDUSTRIES LTD,INE195A01028,Owner,SUPREMEIND,Supreme Industries Limited,48.96,2.35,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.13,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.61,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.48,18.0,0.0,0.0,11.0,2.35
SCHAEFFLER INDIA LTD,INE513A01022,Mnc,SCHAEFFLER,Schaeffler India Limited,74.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.13,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,74.13,0.0,0.0
LINDE INDIA LTD,INE473A01011,Mnc,LINDEINDIA,Linde India Limited,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0
