symbol,company_name,isin,owner_flag,owner_flag_final,owner_flag_final_hybrid,yaml_classification,yaml_matched_detail,judge,in_rev1,rev1_category,rev1_company_name,promoter_total_pct,natural_pct_sum,hufi_pct,dir_pct,kmp_pct,rel_pct,trust_pct,other_indian_pct,other_foreign_pct,foreign_non_govt_pct,govt_pct,ai_review_needed,owner_flag_ai,ai_confidence,ai_reasoning,promoter_names_full_list
JUBLFOOD,Jubilant Foodworks Limited,INE797F01020,owner_confirmed_individual_and_director,OWNER,OWNER,UNKNOWN,,TP,True,Owner,JUBILANT FOODWORKS LTD,40.27,0.04,0.0,0.03,0.01,0.0,0.0,40.27,0.0,0.0,0.0,False,,,,Jubilant Securities Private Limited|Jubilant Consumer Private Limited|Jubilant Capital Private Limited|JE Energy Ventures Private Limited|Shyam Sunder Bhartia|Shobhana Bhartia|Kavita Bhartia|Hari Shanker Bhartia
JUBLINGREA,Jubilant Ingrevia Limited,INE0BY001018,owner_confirmed_individual_and_director,OWNER,OWNER,UNKNOWN,,TP,True,Owner,JUBILANT INGREVIA LTD,45.22,1.23,1.19,0.0,0.04,0.0,0.0,40.5,3.53,3.53,0.02,False,,,,VAM HOLDINGS LIMITED|SPB TRUSTEE COMPANY PL & SS TRUSTEE COMPANY PL|NIKITA RESOURCES PRIVATE LIMITED|MAV MANAGEMENT ADVISORS LLP|JUBILANT ENPRO PRIVATE LIMITED|JUBILANT CONSUMER PRIVATE LIMITED|JUBILANT ADVISORS LLP|JAYTEE PRIVATE LIMITED|HSB TRUSTEE COMPANY PL & HS TRUSTEE COMPANY PL|TORINO OVERSEAS LIMITED|RANCE INVESTMENT HOLDINGS LIMITED|MILLER HOLDINGS PTE LTD|CUMIN INVESTMENTS LIMITED|SHYAM SUNDER BHARTIA|SHAMIT BHARTIA|PRIYAVRAT BHARTIA|KAVITA BHARTIA|HARI SHANKER BHARTIA
JUSTDIAL,Just Dial Limited,INE599M01018,owner_confirmed_individual_and_director,OWNER,OWNER,UNKNOWN,,TP,True,Owner,JUST DIAL LTD,74.15,10.32,10.31,0.0,0.01,0.0,0.0,63.84,0.0,0.0,0.0,False,,,,RELIANCE RETAIL VENTURES LIMITED|VENKATACHALAM STHANU SUBRAMANI|V KRISHNAN|RAMANI IYER|MANASI IYER|ESHWARY KRISHNAN|ANITA MANI
JWL,Jupiter Wagons Limited,INE209L01016,owner_confirmed_individual_and_director,OWNER,OWNER,UNKNOWN,,TP,True,Owner,JUPITER WAGONS LTD,68.31,10.73,10.73,0.0,0.0,0.0,0.0,38.34,19.24,19.24,0.0,False,,,,RIDDLES MARKETING PRIVATE LIMITED|KARISMA GOODS PRIVATE LIMITED|JUPITER METAL SPRING PRIVATE LIMITED|JUPITER FORGINGS & STEEL PVT. LTD.|ANISH CONSULTANTS & CREDITS PVT LTD|TATRAVAGONKA A.S.|VIVEK LOHIA|VIKASH LOHIA|USHA LOHIA|SHRADHA LOHIA|RITU LOHIA|MURARI LAL LOHIA HUF|MURARI LAL LOHIA
JYOTHYLAB,Jyothy Labs Limited,INE668F01031,owner_confirmed_individual_and_director,OWNER,OWNER,UNKNOWN,,TP,True,Owner,JYOTHY LABS LTD,62.89,16.89,16.89,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.01,False,,,,"Sahyadri Agencies Limited|M. P. Ramachandran Family Trust II (Trustees being M. P. Ramachandran, M. R. Jyothy and M. R. Deepthi)|M. P. Ramachandran Family Trust I (Trustees being M. G. Shanthakumari, M. R. Jyothy and M. R. Deepthi)|Jaya Trust|U B Beena|Moothedath Sidharthan Srihari|M R Jyothy|M R Deepthy|M P Sidharthan|M P Ramachandran|M P Divakaran|M G Shanthakumari|K Ullas Kamath|K K Sujatha|Jithin Moothedath Divakaran|Geetha ."
KAJARIACER,Kajaria Ceramics Limited,INE217B01036,owner_confirmed_individual_and_director,OWNER,OWNER,UNKNOWN,,TP,True,Owner,KAJARIA CERAMICS LTD,47.69,6.8,6.8,0.0,0.0,0.0,0.0,40.89,0.0,0.0,0.0,False,,,,VK TRUSTEES PRIVATE LIMITED (IN ITS CAPACITY AS SOLE TRUSTEE OF VERSHA KAJARIA FAMILY PRIVATE TRUST)|RK TRUSTEES PRIVATE LIMITED (IN ITS CAPACITY AS SOLE TRUSTEE OF RISHI KAJARIA FAMILY PRIVATE TRUST)|ChetanKajariaAndRasikaKajaria(InTheirCapacityAsJointTrusteesOfRaghavKajariaFamilyPrivateTrust)|CK TRUSTEES PRIVATE LIMITED (IN ITS CAPACITY AS SOLE TRUSTEE OF CHETAN KAJARIA FAMILY PRIVATE TRUST)|VERSHA DEVI KAJARIA|VEDANT KAJARIA|SHIKHA KAJARIA|RISHI KAJARIA (HUF) (KARTA RISHI KAJARIA)|RISHI KAJARIA|RASIKA KAJARIA|RAGHAV KAJARIA|PARTH KAJARIA|KARTIK KAJARIA|CHETAN KAJARIA (HUF) (KARTA CHETAN KAJARIA)|CHETAN KAJARIA|ASHOK KUMAR KAJARIA|A. K. KAJARIA (HUF) (KARTA A K KAJARIA)
KALYANKJIL,Kalyan Jewellers India Limited,INE303R01014,owner_confirmed_individual_and_director,OWNER,OWNER,UNKNOWN,,TP,True,Owner,KALYAN JEWELLERS INDIA LTD,62.87,60.54,60.49,0.0,0.03,0.0,0.0,2.35,0.0,0.0,0.0,False,,,,Kjg Consulting Private Limited|Kalyan Vastralaya|Kalyan Textile|Kalyan Silks Trichur Private Limited|Kalyan Sarees|Kalyan Graphics|Kalyan Developers|Pooja  Krishnan|Vaishnavi Ramesh|V Meenakshi|Trikkur Sitaramaiyer Ramachandran|Trikkoor Seetharama Iyer Balaraman|Thrikkur Seetharama Iyer Anantharaman|T S Pattabhiraman|T K Ramesh|T B Seetharamji|T A Sreeram|T A  Sethuraman|Sreevidya Arun|Shivani Ramesh|Seetharam T K|S R Srikrishna|S A Ramakrishnan|Rishikesh Kalyan TS|Radhika Thrikur Kalyanaraman|R Sidharth|Prema Ramakrishnan|Prema Kishore|N V Ravichander|N V  Ramadevi|Maya Seetharam|Manasa Kalyan TS|Karthik  Ramani|Kalyanaraman T S|Hariharan Divya|Geethalakshmi T S|Dhanya  Manoj|Deepa Ramesh
KAYNES,Kaynes Technology India Limited,INE918Z01012,owner_confirmed_individual_and_director,OWNER,OWNER,UNKNOWN,,TP,True,Owner,KAYNES TECHNOLOGY INDIA LTD,53.46,53.46,53.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,Zari Aura Hospitality Services Private Limited|Thusti Semiconductors Private Limited|Screen Check (India) Private Limited|Nambi Reality Private Limited|Maritronics India Private Limited|Kaynes Circuits Private Limited|Emphor Industrial Systems India Private Limited|Cheyyur Real Estates Private Limited|Cheyyur Properties Private Limited|Centena International Services Private Limited|Atlab Education India Private Limited|Aaviza Electronics Private Limited (formerly known as Kaynes Interconnection Systems India Private Limited)|A-ID Systems (India) Private Limited|Vijaya Jayaprakash|Suresh Kunhikannan|Savitha Ramesh|Sanjay Raghunath|Ramesh Kunhikannan|Ramesh   Kunhikannan|Premita Govind|Leela Raghunath|Kandoth Puthemveettil Shantha
KEC,KEC International Limited,INE389H01022,owner_confirmed_individual_and_director,OWNER,OWNER,UNKNOWN,,TP,True,Owner,KEC INTERNATIONAL LTD,50.1,1.91,1.91,0.0,0.0,0.0,0.0,48.19,0.0,0.0,0.0,False,,,,"Vayu Associates LLP|Swallow Associates LLP|Summit Securities Limited|Sofreal Mercantrade Pvt Ltd|STEL Holdings Limited|RPG Ventures Limited|Malabar Coastal Holdings LLP|Instant Holdings Limited|Ekatara Enterprises LLP|Chattarpati Apartments LLP|Carniwal Investment Limited|Atlantus Dwellings nd Infrastructure LLP|Secura India Trust 
(Mr. Harsh Vardhan Goenka is a Trustee)|Radha Anant Goenka|RG Family Trust
(Mr. Anant Vardhan Goenka is a Trustee)|Prism Estate Trust 
(Mr. Harsh Vardhan Goenka is a  Trustee)|Nucleus Life Trust
(Mr. Harsh Vardhan Goenka is a Trustee)|Navya Goenka Trust
(Mr. Harsh Vardhan Goenka is a Trustee)|Mala Goenka|Ishaan Goenka Trust
(Mr. Harsh Vardhan Goenka is a Trustee)|Harshvardhan Goenka|Anant Vardhan Goenka|AVG Family Trust
(Mr. Anant Vardhan Goenka is a Trustee)"
KEI,KEI Industries Limited,INE878B01027,owner_confirmed_individual_and_director,OWNER,OWNER,UNKNOWN,,TP,True,Owner,KEI INDUSTRIES LTD,35.0,17.55,17.13,0.37,0.05,0.0,0.0,17.87,0.0,0.0,0.0,False,,,,Soubhagya Agency Private Limited|Shubh Laxmi Motels & Inns Private Limited|Projection Financial & Management Consultants Private Limited|Physio Active Private Limited|KEI Power Limited|KEI International Limited|KEI Cables Private Limited|Dhan Versha Agency Private Limited|Akshit Diviaj Gupta|ARCHANA GUPTA|ANIL GUPTA HUF (Karta- Anil Gupta)|ANIL GUPTA
KIMS,Krishna Institute of Medical Sciences Limited,INE967H01025,owner_confirmed_individual_and_director,OWNER,OWNER,UNKNOWN,,TP,True,Owner,KRISHNA INSTITUTE OF MEDICAL,34.11,32.4,28.06,4.34,0.0,0.0,0.0,6.05,0.0,0.0,0.0,False,,,,Bluebridge Capital Private Limited|Sweata Raavi|Rajyasri Bollineni|Bhaskara Rao Bollineni|Adwik  Bollineni|Abhinay Bollineni|Bollineni Seenaiah  Naidu
KIRLOSENG,Kirloskar Oil Engines Limited,INE146L01010,owner_confirmed_individual_and_director,OWNER,OWNER,UNKNOWN,,TP,True,Owner,KIRLOSKAR OIL ENGINES LTD,41.08,35.35,35.33,0.0,0.02,0.0,0.0,5.76,0.0,0.0,0.0,False,,,,"VikramGeet Investments and Holdings Private Limited|VSK Holdings Private Limited (Under Liquidation)|The Kolhapur Steel Limited|TOR.AI Limited (earlier known as Kloudq Technologies Limited)|Sri Harihareshwara Finance and Investments Private Limited|Snow Leopard Technology Ventures LLP|Snow Leopard Momentum-II LLP|Snow Leopard Momentum LLP|Snow Leopard Lever Boost LLP|Snow Leopard Infrastructure-1 LLP|Snow Leopard Global Technology LLP|Snow Leopard Global Technology III - LLP|Saucelito Ventures|Samarth Udyog Technology Forum|S.L. Kirloskar CSR Foundation|Rykenthorus Ventures LLP|Prakar Investments Private Limited|Navsai Opportunities Private limited (earlier known as Navsai Investments Private Limited)|Navasasyam Dandekar Private Limited|Mahila Udyog Limited [under Corporate Insolvency Resolution Process(CIRP)]|La-Gajjar Machineries Private Limited|Kirloskar Trading SA (PTY) Limited ( earlier known as Joburg Industrial Trading (SA) (PTY). Limited )|Kirloskar Systems Private Limited|Kirloskar South East Asia Company Limited|Kirloskar Solar Technologies Private Limited|Kirloskar Proprietary Limited|Kirloskar Pneumatic Company Limited|Kirloskar Management Services Private Limited|Kirloskar International ME FZE|Kirloskar Integrated Technologies Private Limited|Kirloskar Industries Limited|Kirloskar Ferrous Industries Limited|Kirloskar Energen Private Limited|Kirloskar DMCC|Kirloskar Corrocoat Private Limited|Kirloskar Chillers Private Limited|Kirloskar Chillers Middle East LLC|Kirloskar Brothers  Limited|Kirloskar Americas Corp., USA|KiARA Lifespaces Private Limited|Karad Projects and Motors Limited|Kairi Investments LLC|KC Ventures LLP|Indifour Consult Private Limited|GreenTek Systems (India) Private Limited|G.G. Dandekar Properties Limited (earlier known as G. G. Dandekar Machine Works Limited)|Cess Investments and Consultants Private Limited (Under Liquidation)|Cephalopod Teknik LLP (earlier known as Snow Leopard Global Technology II - LLP)|Cephalopod Teknik III LLP|Cephalopod Teknik II LLP|Binaza Consult Private Limited|Better Value Holdings Private Limited|Beluga Whale Capital Management Pte. Ltd.|Avante Spaces Limited|Asara Sales and Investment Private Limited|Arka Investment Advisory Services Private Limited|Arka Fincap Limited|Arka Financial Holdings Private Limited|Alpak Investments Private Limited|Alotoxl Ventures LLP|Actin Technologies India Private Limited|Achyut and Neeta Holdings and Finance Pvt. Ltd.|Talan A. Kulkarni|Suman Chandrakant Kirloskar as individual, as Karta of C. S. Kirloskar HUF, as a Trustee of Vijaya Durga Devi Trust and as a Trustee of C. S. Kirloskar Testamentary Trust|Sneha Jain Kirloskar|Shruti N. Kulkarni|Sanjay Chandrakant Kirloskar as individual, as a Trustee of Kirloskar Brothers Limited Employees Welfare Trust Scheme, as a trustee of C.S. Kirloskar Testamentary Trust and as Karta of Sanjay C. Kirloskar HUF|Roopa Jayant Gupta|Rama S. Kirloskar|Rahul Chandrakant Kirloskar as individual, as a Karta of Rahul C. Kirloskar HUF and as a Trustee of C. S. Kirloskar Testamentary Trust|Pratima Sanjay Kirloskar|Pia C. Kolenaty|Nihal Gautam Kulkarni|Maya C. Kolenaty|Manasi V. Kirloskar|Komal A. Kulkarni|Jyostna Gautam Kulkarni|Geetanjali Vikram Kirloskar|Gauri Kirloskar|Gargi N. Kulkarni|Christopher Kolenaty|Atul Chandrakant Kirloskar as individual, as a Trustee of C.S. Kirloskar Testamentary Trust and as a Karta of Atul C. Kirloskar HUF|Arti Atul Kirloskar|Arjun Sahni|Anoushka Akshay Sahni|Anika N. Kulkarni|Ambar Gautam Kulkarni|Aman R. Kirloskar|Alpana Rahul Kirloskar|Alok Kirloskar|Alika R. Kirloskar|Akshay Sahni|Aditi Atul Kirloskar"
KOLTEPATIL,Kolte - Patil Developers Limited,INE094I01018,owner_confirmed_individual_and_director,OWNER,OWNER,UNKNOWN,,TP,True,Owner,KOLTE-PATIL DEVELOPERS LTD,73.81,33.82,33.81,0.0,0.01,0.0,0.0,0.0,40.0,40.0,0.0,False,,,,BREP ASIA III INDIA HOLDING CO VII PTE. LTD.|YASHVARDHAN RAJESH PATIL|VANDANA NARESH PATIL|SUNITA RAJESH PATIL|SUNITA MILIND KOLTE|RAJESH ANIRUDDHA PATIL|PRIYANJALI NARESH PATIL|MILIND DIGAMBAR KOLTE|HARSHAVARDHAN N PATIL|ANKITA RAJESH PATIL
KOTAKBANK,Kotak Mahindra Bank Limited,INE237A01036,owner_confirmed_individual_and_director,OWNER,OWNER,UNKNOWN,,TP,True,Owner,KOTAK MAHINDRA BANK LTD,25.87,26.0,25.86,0.13,0.01,0.0,0.0,0.01,0.0,0.0,0.0,False,,,,USK Capital Partners|Puma Properties Private Limited|Palko Properties Private Limited|Laburnum Adarsh Trust|Kudin Trusteeship Services Private Limited|Kotak Trustee Company Private Limited|Kotak Commodity Services Private Limited|Kotak Chemicals Ltd|Kotak & Co Pvt Ltd|Komaf Financial Services Private Limited|Insurekot Sports Private Limited|Infina Finance Private Limited|Helena Realty Private Limited|Harisiddha Trading & Finance Private Limited|Cumulus Trading Company Private Limited|Business Standard Private Limited|Business Standard Online Private Limited|Asian Machinery & Equipment Pvt Ltd|Amrit Lila Enterprises Private Limited|Allied Auto Accessories Pvt Ltd|Aero Agencies Limited|Dhawal Kotak|Aarti Neal Chandaria|Uday Suresh Kotak|Uday S Kotak (HUF)|Suresh Amritlal Kotak|Suresh A Kotak  (HUF)|Pallavi Kotak|Jay Kotak|Janak Dinkarrai Desai|Indira Suresh Kotak
KPIL,Kalpataru Projects International Limited,INE220B01022,owner_confirmed_individual_and_director,OWNER,OWNER,UNKNOWN,,TP,True,Owner,KALPATARU PROJECTS INTERNATI,33.57,11.84,11.79,0.0,0.0,0.0,0.0,21.73,0.0,0.0,0.0,False,,,,Yugdharm Real Estate Private Limited|Yugdharm Holdings Private Limited|Wondercure Pharmaceuticals LLP|Umang Benefit Trust|Sycamore Real Estate Private Limited|Sycamore Orchards Private Limited|Sycamore Agro Farms Private Limited|Swarn Bhumi Township Private Limited|Sunstrene Chemical Agencies Private Limited|Sunita Trust|Sudha Trust|Spruce Orchards Private Limited|Spruce Agro Farms Private Limited|Sorbus Orchards Private Limited|Sorbus Agro Farms Private Limited|Shrishti Club House Private Limited|Shri Subham Global Trading LLP|Shri Shubham Advisors Private Limited|Shreyash Trading Private Limited|Shravasti Ventures LLP|Shouri Investment and Trading Company Private Limited|Sharad Chandrika Munot Family Trust|Sfurti Multitrade Private Limited|Sfurti Impex Private Limited|Riddhi Benefit Trust|Rajasthan Stones Private Limited|Rainbow Prints Private Limited|Prime Properties Private Limited|Parag Prem Builders Private Limited|Panache Finishing School Private Limited|Padmanagar Constructions Private Limited|P K Velu & Company Private Limited|Omega Realtors Private Limited|Neo Pharma Private Limited|Munot Real Estate Private Limited|Munot Developers Private Limited|Mrigashish Investment & Trading Company Private Limited|Mrigashish Constructions Private Limited|Mofatraj P. Munot (Shares held by Mofatraj P. Munot as one of the Trustee of Shubhika Benefit Trust)|Mofatraj P. Munot (Shares held by Mofatraj P. Munot as one of the Trustee of Saachi Benefit Trust)|Mofatraj P. Munot (Shares held by Mofatraj P. Munot as one of the Trustee of MPM Family Trust)|Mofatraj P. Munot (Shares held by Mofatraj Munot as one of the Trustee of Aaryaveer Benefit Trust)|Maximum Impex Private Limited|Marck Stationary Manufacturing LLP|MPM Holding LLP|M P Munot Benefit Trust|Longulf Trading (India) Private Limited|Locksley Hall Hill Resorts Private Limited|Lifestyle Property Ventures Private Limited|Laburnum Porperty Ventures LLP|Kshitij Orchards Private Limited|Klassik Vinyl Products LLP|Klassik Townships Private Limited|Kiyana Constructions Private Limited|Kiah Real Estate Private Limited|Kiah Properties LLP|Kiah Constructions LLP|Karmayog Builders Private Limited|Kara Real Estate Private Limited|Kara Properties LLP|Kara Constructions Private Limited|Kanani Real Estate LLP|Kanani Properties Private Limited|Kanani Orchards Private Limited|Kanani Developers LLP|Kalpatru Viniyog Llp|Kalpataru Villas LLP|Kalpataru Urbanscape LLP|Kalpataru Theatres Private Limited|Kalpataru Theatres|Kalpataru Retail Ventures Private Limited|Kalpataru Property Ventures LLP|Kalpataru Properties Pvt Ltd|Kalpataru Properties (Thane) Private Limited|Kalpataru Premises Private Limited|Kalpataru Plaza Private Limited|Kalpataru Limited|Kalpataru Land Surat Private Limited|Kalpataru Land Private Ltd|Kalpataru Homes Private Limited|Kalpataru Holdings Pvt Ltd|Kalpataru Gardens Pvt.Ltd.|Kalpataru Estate Private Limited|Kalpataru Energy (India) LLP|Kalpataru E-Vision Private Limited|Kalpataru Constructions Private Limited|Kalpataru Business Solutions Private Limited|Kalpataru Builders Private Limited|Kalpataru Builders (Pune)|Kalpataru Builders|Kalpa-Taru Property Ventures LLP|K V Property Ventures LLP|K C Holdings Pvt Ltd|Ixora Properties Private Limited|Hedavkar Mechanical Works LLP|Flex-O-Poly Private Limited|Fine Business Facilitators Private Limited|Exclusive Trading Company Private Limited|Exclusive Stationery Private Limited|Excel Office Products (India) Private Limited|Dynacraft Machine Company Private Limited|Durable Trading Company Private Limited|Durable Stationary Private Limited|Databank Trading Company (India) Private Limited|Databank Stationery Private Limited|Corporate Stationery Private Limited|Classic Build Home LLP|Caprihans International Impex Private Limited|Bridge Equities Private Limited|Azure Tree Townships LLP|Azure Tree Property Ventures Private Limited|Azure Tree Orchards Private Limited|Azure Tree Lands Private Limited|Azure Tree Enviro Farms Private Limited|Azure Tree Developers LLP|Azure Tree Constructions Private Limited|Axiom Properties Private Limited|Axiom Orchards Private Limited|Axiom Enviro Farms Private Limited|Axiom Constructions LLP|Aura Orchards Private Limited|Aura Enviro Farms Private Limited|Astrum Orchards Private Limited|Astrum Enviro Farms Private Limited|Astrum Developments Private Limited|Associated Luggage Company Private Limited|Aspen Orchards Private Limited|Aspen Enviro Farms Private Limited|Ashoka Orchards Private Limited|Aseem Ventures LLP|Aseem Properties LLP|Ascent Orchards Private Limited|Ascent Enviro Farms Private Limited|Art Cornerstone Foundation|Arimas Real Estate Private Limited|Arimas Orchards Private Limited|Arimas Enviro Farms Private Limited|Arimas Agro Farms Private Limited|Argos International Marketing Private Limited|Argos Greens LLP|Argos Arkaya Power Solutions LLP|Argan Real Estate LLP|Argan Orchards Private Limited|Argan Enviro Farms Private Limited|Arena Orchards Private Limited|Arena Enviro Farms Private Limited|Ardour Orchards Private Limited|Ardour Enviro Farms Private Limited|Ardour Constructions Private Limited|Appropriate Orchards Private Limited|Appropriate Enviro Farms Private Limited|Appropriate Developers Private Limited|Ananta Ventures LLP|Ananta Landmarks Private Limited|Anant Orchards Private Limited|Anant Enviro Farms Private Limited|Amrita Polytex Private Limited|Ambrosia Real Estate Private Limited|Ambrosia Orchards Private Limited|Ambrosia Enviro Farms Private Limited|Amber Orchards Private Limited|Amber Enviro Farms Private Limited|Amber Agro Farms Private Limited|Allied Gems Corporation|Alder Property Ventures LLP|Agile Orchards Private Limited|Agile Enviro Farms Private Limited|Agile Agro Farms Private Limited|Abhiruchi Orchards Private Limited|Abhiruchi Enviro Farms Private Limited|Abacus Real Estate Private Limited|Abacus Orchards Private Limited|Abacus Enviro Farms Private Limited|Abacus Agro Farms Private Limited|ASD Diamonds Private Limited|Abhinav A. Daga|Yasmin Imtiaz Kanga|Vijay K Choraria|Vijay Choraria H.U.F.|Umang Rajesh Golechha|Tara Kanga|Sushila Kumari Daga|Sunita Vijay Choraria|Sudha Rajesh Golecha|Shubhika P. Munot|Saachi P. Munot|Rajesh Bhagchand Golechha|Rajesh B Golechha Huf|Parag Mofatraj Munot|Monica P. Munot|Mofatraj Pukhraj Munot HUF|Mofatraj Pukhraj Munot|Krishnadevi Oswal|Khushali Yash Mandawewala|Kanchandevi Jain|Jash Choraria|Imtiaz Kanga|Chandra Amar Munot|Ashok Kumar Daga HUF|Ashok Kumar Daga|Aaryaveer P. Munot
KPITTECH,KPIT Technologies Limited,INE04I401011,owner_confirmed_individual_and_director,OWNER,OWNER,UNKNOWN,,TP,True,Owner,KPIT TECHNOLOGIES LTD,39.42,7.05,6.89,0.13,0.03,0.0,0.0,32.52,0.0,0.0,0.0,False,,,,PROFICIENT FINSTOCK LLP|K AND P MANAGEMENT SERVICES PVT LTD|HEMLATA A SHENDE|SHRIKRISHNA MANOHAR PATWARDHAN|SHASHISHEKHAR BALKRISHNA PANDIT|SACHIN DATTATRAYA TIKEKAR|NIRMALA SHASHISHEKHAR PANDIT|KISHOR PARSHURAM PATIL|CHINMAY S PANDIT|ASHWINI AJAY BHAGWAT|ANUPAMA KISHOR PATIL|AJAY SHRIDHAR BHAGWAT
KRSNAA,Krsnaa Diagnostics Limited,INE08LI01020,owner_confirmed_individual_and_director,OWNER,OWNER,UNKNOWN,,TP,True,Owner,KRSNAA DIAGNOSTICS LTD,27.11,26.47,24.75,1.72,0.0,0.0,0.0,2.36,0.0,0.0,0.0,False,,,,KRSNA DIAGNOSTICS (MUMBAI) PRIVATE LIMITED|RAJENDRA KHIVRAJ MUTHA
KSCL,Kaveri Seed Company Limited,INE455I01029,owner_confirmed_individual_and_director,OWNER,OWNER,UNKNOWN,,TP,True,Owner,KAVERI SEED CO LTD,60.5,21.29,21.27,0.0,0.02,0.0,0.0,39.23,0.0,0.0,0.0,False,,,,"G.V. Bhaskar Rao, Trustee of Pawan Private Trust|G.V. Bhaskar Rao, Trustee of Madhushree Private Trust|Vanaja Devi Gundavaram|Vamsheedhar Chennamaneni|Pawan Gundavaram|Mithun Chand Chennamaneni|Gundavaram Venkata Bhaskar Rao"
LALPATHLAB,Dr. Lal Path Labs Ltd.,INE600L01024,owner_confirmed_individual_and_director,OWNER,OWNER,UNKNOWN,,TP,True,Owner,DR LAL PATHLABS LTD,53.21,53.29,51.37,0.02,0.06,0.0,0.0,0.0,0.0,0.0,0.01,False,,,,Archana Lal Erdmann|Vandana Lal|Arvind Lal|Anjaneya Lal
LANDMARK,Landmark Cars Limited,INE559R01029,owner_confirmed_individual_and_director,OWNER,OWNER,UNKNOWN,,TP,True,Owner,LANDMARK CARS LTD,49.76,50.09,49.76,0.32,0.01,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,Wild Dreams Trading Company Private Limited|Wild Dreams Media and Communications Private Limited|Sewri Land Company Private Limited|Ranchhoddas Jethabhai and Co.|Landmark Insurance Brokers Private Limited|Kamlesh Real Estates Private Limited|Interstellar Services Private Limited|Express BPO Services Private Limited|Ekta Housemakers Private Limited|Curated Journeys2xplor LLP|Ankan Printers LLP|Adorn Studio LLP|Acadia Marketing LLP|Urvi Ashwin Mody|Udyan Karsandas Thakker HUF|Udayan Karsandas Thakker|Spruha Satish Mehta|Smita Ashwin Mody|Siddharth Rajan Desai|Sanjay Karsandas Thakker(HUF)|Sanjay Karsandas Thakker|Richa Udayan Thakker|Reya Siddharth Desai|Rajul Udayan Thakker|Rajan Desai|Nita Rajiv Desai|Jeet Manish Shah|Harsh Desai|Gita Desai|Garima Udayan Thakker|Aryaman Sanjay Thakker|Arjun Siddharth Desai|Aparajita Thakker|Ami Sanjay Thakker
LATENTVIEW,Latent View Analytics Limited,INE0I7C01011,owner_confirmed_individual_and_director,OWNER,OWNER,UNKNOWN,,TP,True,Owner,LATENT VIEW ANALYTICS LTD,65.1,65.14,65.1,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,Vimala A V|Sarada A V|Rahul Venkatraman|Pramadwathi  Jandhyala|Nikhil Venkatraman|Latha Narayanan|J Umadevi|J Sridhar|Indra Tamilarasan|Adugudi Viswanathan Venkatraman
LAURUSLABS,Laurus Labs Limited,INE947Q01028,owner_confirmed_individual_and_director,OWNER,OWNER,UNKNOWN,,TP,True,Owner,LAURUS LABS LTD,27.49,3.36,3.35,0.0,0.01,0.0,0.63,24.14,0.0,0.0,0.0,False,,,,"M/s. NSN Holdings (Represented by its Managing Partner, Dr. Satyanarayana Chava)|M/s. Leven Holdings (Represented by its Managing Partner, Mr. Venkata Ravi Kumar Vantaram)|VENKATA RAVI KUMAR VANTARAM|SOUMYA CHAVA|SEKHAR BABU CHUNDURU|SATYANARAYANA CHAVA|RAMA SURYADEVARA|NARASIMHA RAO SURYADEVARA|NAGAMANI THOKALA|KRISHNAVENI VASIREDDI|KRISHNA CHAITANYA CHAVA|KAMALA KOMMANA|HYMAVATHI VANTARAM|CHUNDURU VENKATA LAKSHMANA RAO|CHAVA NARASIMHA RAO|CHAVA NAGA RANI|CHANDRAKANTH CHEREDDI"
LEMONTREE,Lemon Tree Hotels Limited,INE970X01018,owner_confirmed_individual_and_director,OWNER,OWNER,UNKNOWN,,TP,True,Owner,LEMON TREE HOTELS LTD,22.28,0.46,0.33,0.0,0.13,0.0,0.0,21.95,0.0,0.0,0.0,False,,,,UNISTAR HOTELS PRIVATE LIMITED|TOUCAN REAL ESTATES PRIVATE LIMITED|SPARROW BUILDWELL PRIVATE LIMITED|SPANK MANAGEMENT SERVICES PRIVATE LIMITED|REDSTART REAL ESTATES PRIVATE LIMITED|PRINIA HOTELS PRIVATE LIMITED|PONY TALE HOTELS PRIVATE LIMITED|OCEANUS DEVELOPMENT COMPANY PRIVATE LIMITED|MYNA REAL ESTATES PRIVATE LIMITED|GLENDALE MARKETING SERVICES PRIVATE LIMITED|GARNET HOTELS PRIVATE LIMITED|CROW REAL ESTATES PRIVATE LIMITED|PATANJALI GOVIND KESWANI|NAYANA RIA KESWANI|LILLETTE DUBEY|ILA DUBEY|ADITYA MADHAV KESWANI
LTFOODS,LT Foods Limited,INE818H01020,owner_confirmed_individual_and_director,OWNER,OWNER,UNKNOWN,,TP,True,Owner,LT FOODS LTD,51.01,14.99,14.91,0.02,0.06,0.0,0.0,36.09,0.0,0.0,0.0,False,,,,VIJAY KUMAR ARORA|SURINDER KUMAR ARORA|RAGHUVESH HOLDINGS PRIVATE LIMITED|ASHWANI KUMAR ARORA|ASHOK KUMAR ARORA|VANEET ARORA|VANDANA ARORA|SAKSHI ARORA|RITESH ARORA|RANJU ARORA|MUNISH KUMAR ARORA|LATE GURUCHARAN DASS ARORA|GURUCHARAN DASS ARORA|GURSAJAN ARORA|ANMOL ARORA|ANITA ARORA|ADITYA ARORA|ABHINAV ARORA
