symbol,isin,company_name,owner_flag,owner_flag_final_hybrid,yaml_classification,owner_family,promoter_total_pct,natural_pct_sum,in_rev1,rev1_category,is_nifty50,is_nifty100,is_nifty200,is_nifty500,is_nifty_total_mkt
EMCURE,INE168P01015,Emcure Pharmaceuticals Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,77.87,62.739999999999995,False,,False,False,False,True,True
EMMVEE,INE1C6T01020,Emmvee Photovoltaic Power Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,80.03,80.03,False,,False,False,False,True,True
ENDURANCE,INE913H01037,Endurance Technologies Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,75.0,30.85,True,Owner,False,False,False,True,True
ENTERO,INE010601016,Entero Healthcare Solutions Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,52.42,14.41,False,,False,False,False,False,True
ERIS,INE406M01024,Eris Lifesciences Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,54.85,54.89,True,Owner,False,False,False,True,True
ETHOSLTD,INE04TZ01018,Ethos Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,50.59,0.29,False,,False,False,False,False,True
EXIDEIND,INE302A01020,Exide Industries Limited,owner_probable_nri_family,OWNER,UNKNOWN,,45.99,45.99,True,Owner,False,False,True,True,True
FINCABLES,INE235A01022,Finolex Cables Limited,owner_confirmed_individual,OWNER,UNKNOWN,,35.86,5.16,True,Owner,False,False,False,True,True
FINEORG,INE686Y01026,Fine Organic Industries Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,75.0,75.02,True,Owner,False,False,False,False,False
FINPIPE,INE183A01024,Finolex Industries Limited,owner_confirmed_individual,OWNER,UNKNOWN,,52.47,1.11,True,Owner,False,False,False,False,True
FIVESTAR,INE128S01021,Five-Star Business Finance Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,18.56,18.98,True,Owner,False,False,False,True,True
FLFL,INE452O01016,Future Lifestyle Fashions Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,20.3,0.01,True,Owner,False,False,False,False,False
FLUOROCHEM,INE09N301011,Gujarat Fluorochemicals Limited,owner_confirmed_individual,OWNER,UNKNOWN,,61.39,0.05,True,Owner,False,False,False,True,True
FORCEMOT,INE451A01017,FORCE MOTORS LTD,owner_confirmed_individual,OWNER,UNKNOWN,,61.63,4.26,True,Owner,False,False,False,True,True
FUSION,INE139R01012,Fusion Finance Limited,ambiguous_mnc_jv_candidate,OWNER,UNKNOWN,,54.92,2.89,True,Owner,False,False,False,False,False
GABRIEL,INE524A01029,Gabriel India Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,55.0,2.36,True,Owner,False,False,False,True,True
GAEL,INE036B01030,Gujarat Ambuja Exports Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,63.84,63.809999999999995,True,Owner,False,False,False,False,True
GALAXYSURF,INE600K01018,Galaxy Surfactants Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,70.9,47.61,True,Owner,False,False,False,False,False
GENUSPOWER,INE955D01029,Genus Power Infrastructures Limited,owner_confirmed_individual_and_director,OWNER,UNKNOWN,,39.34,19.6,True,Owner,False,False,False,False,False
