isin,company_name_owners,owners_cat,symbol,company_name_cand,owner_flag,owner_flag_ai,owner_flag_final
INE09VQ01012,INDIGO PAINTS LTD,Owner,INDIGOPNTS,Indigo Paints Limited,owner_confirmed_individual_and_director,,OWNER
INE0BJS01011,GO FASHION INDIA LTD,Owner,GOCOLORS,Go Fashion (India) Limited,owner_confirmed_individual_and_director,,OWNER
INE0BV301023,CE INFO SYSTEMS LTD,Owner,MAPMYINDIA,C.E. Info Systems Limited,owner_confirmed_individual,,OWNER
INE0BWX01014,AETHER INDUSTRIES LTD,Owner,AETHER,Aether Industries Limited,owner_confirmed_individual_and_director,,OWNER
INE0BY001018,JUBILANT INGREVIA LTD,Owner,JUBLINGREA,Jubilant Ingrevia Limited,owner_confirmed_individual_and_director,,OWNER
INE0CCU25019,MINDSPACE BUSINESS PARKS REI,Owner,,,,,
INE0CLI01024,RATEGAIN TRAVEL TECHNOLOGIES,Owner,RATEGAIN,Rategain Travel Technologies Limited,owner_confirmed_individual,,OWNER
INE0D6701023,INDIA PESTICIDES LTD,Owner,IPL,India Pesticides Limited,owner_confirmed_individual,,OWNER
INE0DD101019,RAILTEL CORP OF INDIA LTD,State,RAILTEL,Railtel Corporation Of India Limited,excluded_state_dominant,,NOT_OWNER
INE0DK501011,PIRAMAL PHARMA LTD,Owner,PPLPHARMA,Piramal Pharma Limited,owner_confirmed_individual_and_director,,OWNER
INE0DYJ01015,SYRMA SGS TECHNOLOGY LTD,Owner,SYRMA,Syrma SGS Technology Limited,owner_confirmed_individual_and_director,,OWNER
INE0ECP01024,HMA AGRO INDUSTRIES LTD,Owner,HMAAGRO,HMA Agro Industries Limited,owner_confirmed_individual,,OWNER
INE0FDU25010,BROOKFIELD INDIA REAL ESTATE,MNC,,,,,
INE0FS801015,MOTHERSON SUMI WIRING INDIA,Owner,MSUMI,Motherson Sumi Wiring India Limited,owner_confirmed_individual_and_director,,OWNER
INE0GGX23010,POWERGRID INFRASTRUCTURE INV,State,,,,,
INE0GK401011,TATVA CHINTAN PHARMA CHEM LT,Owner,TATVA,Tatva Chintan Pharma Chem Limited,owner_confirmed_individual,,OWNER
INE0I7C01011,LATENT VIEW ANALYTICS LTD,Owner,LATENTVIEW,Latent View Analytics Limited,owner_confirmed_individual_and_director,,OWNER
INE0IX101010,DATA PATTERNS INDIA LTD,Owner,DATAPATTNS,Data Patterns (India) Limited,owner_confirmed_individual_and_director,,OWNER
INE0J1Y01017,LIFE INSURANCE CORPORATION,State,LICI,Life Insurance Corporation Of India,excluded_state_dominant,,NOT_OWNER
INE0JA001018,VENUS PIPES & TUBES LTD,Owner,VENUSPIPES,Venus Pipes & Tubes Limited,owner_confirmed_individual,,OWNER
INE0JS101016,DREAMFOLKS SERVICES LTD,Owner,DREAMFOLKS,Dreamfolks Services Limited,owner_confirmed_individual_and_director,,OWNER
INE0JUS01029,HARSHA ENGINEERS INTERNATION,Owner,HARSHA,Harsha Engineers International Limited,owner_confirmed_individual_and_director,,OWNER
INE0KL801015,DCX SYSTEMS LTD,Owner,DCXINDIA,DCX Systems Limited,owner_confirmed_individual_and_director,,OWNER
