symbol,company_name,isin,series,listing_date,face_value,industry,sector,basic_industry,macro,is_fno,last_price,previous_close,year_high,year_low,ffmc,pct_change_30d,pct_change_365d,fetched_at
GSMFOILS,,,EQ,,,SM,,,,,199.0,190.1,255.15,126.47,,,,2026-04-14T01:22:41.013948+00:00
AGARWALFT,,,EQ,,,SM,,,,,33.85,32.35,71.25,21.85,,,,2026-04-14T01:22:41.013948+00:00
SUNTECH,,,EQ,,,SM,,,,,41.75,39.9,110.0,30.0,,,,2026-04-14T01:22:41.013948+00:00
WINNY,,,EQ,,,SM,,,,,43.95,42.0,243.25,36.1,,,,2026-04-14T01:22:41.013948+00:00
ADDICTIVE,,,EQ,,,SM,,,,,86.0,82.2,176.15,57.65,,,,2026-04-14T01:22:41.013948+00:00
INSPIRE,,,EQ,,,SM,,,,,9.15,8.75,28.25,6.8,,,,2026-04-14T01:22:41.013948+00:00
ENVIRO,,,EQ,,,SM,,,,,104.5,100.0,173.0,82.0,,,,2026-04-14T01:22:41.013948+00:00
RCDL,,,EQ,,,SM,,,,,23.5,22.5,30.85,16.5,,,,2026-04-14T01:22:41.013948+00:00
GOLDSTAR,,,EQ,,,ST,,,,,7.1,6.8,13.5,4.5,,,,2026-04-14T01:22:41.013948+00:00
VELS,,,EQ,,,SM,,,,,63.0,60.4,94.5,39.75,,,,2026-04-14T01:22:41.013948+00:00
DOLLEX,,,EQ,,,SM,,,,,32.8,31.45,44.25,26.0,,,,2026-04-14T01:22:41.013948+00:00
RAPPID,,,EQ,,,SM,,,,,280.0,268.5,384.9,224.0,,,,2026-04-14T01:22:41.013948+00:00
AMCL,,,EQ,,,SM,,,,,489.85,470.0,489.85,161.7,,,,2026-04-14T01:22:41.013948+00:00
KATARIA,,,EQ,,,SM,,,,,116.95,112.25,129.0,85.5,,,,2026-04-14T01:22:41.013948+00:00
PLADAINFO,,,EQ,,,SM,,,,,11.35,10.9,27.75,9.1,,,,2026-04-14T01:22:41.013948+00:00
VIGOR,,,EQ,,,SM,,,,,63.5,61.0,98.0,44.75,,,,2026-04-14T01:22:41.013948+00:00
ASCOM,,,EQ,,,ST,,,,,254.5,244.5,256.0,76.55,,,,2026-04-14T01:22:41.013948+00:00
GGBL,,,EQ,,,SM,,,,,284.9,273.85,555.0,215.0,,,,2026-04-14T01:22:41.013948+00:00
ARCIIL,,,EQ,,,SM,,,,,51.95,49.95,145.0,38.6,,,,2026-04-14T01:22:41.013948+00:00
PRANIK,,,EQ,,,SM,,,,,50.95,49.0,92.9,37.0,,,,2026-04-14T01:22:41.013948+00:00
FORGEAUTO,,,EQ,,,SM,,,,,90.45,87.2,175.5,68.45,,,,2026-04-14T01:22:41.013948+00:00
SHUBHLAXMI,,,EQ,,,SM,,,,,27.0,26.05,40.0,13.35,,,,2026-04-14T01:22:41.013948+00:00
SUBAHOTELS,,,EQ,,,SM,,,,,131.0,126.45,200.0,97.65,,,,2026-04-14T01:22:41.013948+00:00
SOCL,,,EQ,,,SM,,,,,30.35,29.3,68.8,23.65,,,,2026-04-14T01:22:41.013948+00:00
TCL,,,EQ,,,SM,,,,,89.05,86.0,137.0,74.05,,,,2026-04-14T01:22:41.013948+00:00
SLONE,,,EQ,,,SM,,,,,215.0,207.65,371.45,161.0,,,,2026-04-14T01:22:41.013948+00:00
BARFLEX,,,EQ,,,SM,,,,,58.0,56.05,82.4,53.0,,,,2026-04-14T01:22:41.013948+00:00
RITEZONE,,,EQ,,,SM,,,,,16.75,16.2,36.55,13.8,,,,2026-04-14T01:22:41.013948+00:00
MASTER,,,EQ,,,SM,,,,,345.0,334.0,436.0,282.5,,,,2026-04-14T01:22:41.013948+00:00
HOACFOODS,,,EQ,,,SM,,,,,430.0,416.45,430.0,139.4,,,,2026-04-14T01:22:41.013948+00:00
TIRUPATI,,,EQ,,,SM,,,,,465.0,451.0,893.0,405.65,,,,2026-04-14T01:22:41.013948+00:00
MMEL,,,EQ,,,SM,,,,,33.65,32.65,84.45,20.0,,,,2026-04-14T01:22:41.013948+00:00
PRIMECAB,,,EQ,,,SM,,,,,90.5,87.85,123.65,70.4,,,,2026-04-14T01:22:41.013948+00:00
AKANKSHA,,,EQ,,,SM,,,,,73.05,71.0,133.75,57.0,,,,2026-04-14T01:22:41.013948+00:00
UTSSAV,,,EQ,,,SM,,,,,221.0,214.8,281.0,160.05,,,,2026-04-14T01:22:41.013948+00:00
ONDOOR,,,EQ,,,SM,,,,,179.0,174.0,209.2,100.0,,,,2026-04-14T01:22:41.013948+00:00
DENEERS,,,EQ,,,ST,,,,,171.0,166.35,374.8,132.0,,,,2026-04-14T01:22:41.013948+00:00
KEN,,,EQ,,,SM,,,,,37.65,36.65,64.85,31.05,,,,2026-04-14T01:22:41.013948+00:00
SACHEEROME,,,EQ,,,SM,,,,,399.75,389.15,430.65,140.5,,,,2026-04-14T01:22:41.013948+00:00
SJLOGISTIC,,,EQ,,,SM,,,,,301.5,293.55,585.0,225.35,,,,2026-04-14T01:22:41.013948+00:00
FELIX,,,EQ,,,SM,,,,,185.0,180.25,220.0,142.65,,,,2026-04-14T01:22:41.013948+00:00
ALCODIS,,,EQ,,,SM,,,,,79.0,77.0,208.5,49.0,,,,2026-04-14T01:22:41.013948+00:00
CURIS,,,EQ,,,SM,,,,,110.0,107.25,147.9,83.6,,,,2026-04-14T01:22:41.013948+00:00
NEPTUNE,,,EQ,,,ST,,,,,200.0,195.0,246.9,126.3,,,,2026-04-14T01:22:41.013948+00:00
AGARWALTUF,,,EQ,,,SM,,,,,104.5,101.9,174.05,81.0,,,,2026-04-14T01:22:41.013948+00:00
IWARE,,,EQ,,,ST,,,,,235.75,230.0,283.0,70.05,,,,2026-04-14T01:22:41.013948+00:00
RAJINDLTD,,,EQ,,,SM,,,,,79.8,77.85,101.9,60.0,,,,2026-04-14T01:22:41.013948+00:00
SHREEKARNI,,,EQ,,,SM,,,,,410.0,400.0,712.0,329.95,,,,2026-04-14T01:22:41.013948+00:00
SUNREST,,,EQ,,,SM,,,,,37.0,36.1,54.46,26.38,,,,2026-04-14T01:22:41.013948+00:00
ELGNZ,,,EQ,,,SM,,,,,75.15,73.35,163.5,52.0,,,,2026-04-14T01:22:41.013948+00:00
GOYALSALT,,,EQ,,,SM,,,,,118.8,116.05,204.0,97.0,,,,2026-04-14T01:22:41.013948+00:00
VISHNUINFR,,,EQ,,,SM,,,,,172.75,168.75,218.9,125.2,,,,2026-04-14T01:22:41.013948+00:00
PUSHPA,,,EQ,,,SM,,,,,124.0,121.3,148.75,81.15,,,,2026-04-14T01:22:41.013948+00:00
SNEHAA,,,EQ,,,SM,,,,,43.55,42.6,122.0,35.5,,,,2026-04-14T01:22:41.013948+00:00
PELATRO,,,EQ,,,SM,,,,,302.0,295.5,461.0,270.0,,,,2026-04-14T01:22:41.013948+00:00
HRHNEXT,,,EQ,,,SM,,,,,26.55,26.0,63.15,21.0,,,,2026-04-14T01:22:41.013948+00:00
PRECISION,,,EQ,,,SM,,,,,7.35,7.2,28.4,6.75,,,,2026-04-14T01:22:41.013948+00:00
BRACEPORT,,,EQ,,,SM,,,,,55.6,54.5,111.0,42.9,,,,2026-04-14T01:22:41.013948+00:00
