index_name,symbol,priority,fetched_at
NIFTY 200,BAJAJ-AUTO,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,SOLARINDS,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,OIL,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,HDFCLIFE,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,UNIONBANK,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,GRASIM,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,GVT&D,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,BANKBARODA,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,HINDPETRO,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,HCLTECH,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,IOC,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,TORNTPHARM,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,CANBK,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,ATGL,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,HDFCAMC,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,ULTRACEMCO,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,SWIGGY,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,PREMIERENE,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,NMDC,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,PERSISTENT,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,COFORGE,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,GAIL,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,DLF,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,TVSMOTOR,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,COCHINSHIP,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,APOLLOHOSP,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,VBL,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,MAXHEALTH,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,BAJAJFINSV,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,ABB,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,POLICYBZR,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,PAYTM,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,BOSCHLTD,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,LODHA,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,FEDERALBNK,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,BHARATFORG,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,PNB,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,CIPLA,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,BRITANNIA,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,RECLTD,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,MUTHOOTFIN,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,AUROPHARMA,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,TECHM,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,TATACONSUM,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,ICICIAMC,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,DRREDDY,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,PRESTIGE,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,LUPIN,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,UNITDSPR,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,BANKINDIA,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,SRF,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,BDL,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,NESTLEIND,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,TRENT,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,HYUNDAI,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,MARICO,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,LGEINDIA,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,IRFC,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,GLENMARK,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,GODREJPROP,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,HINDZINC,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,CGPOWER,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,KEI,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,INDIANB,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,LAURUSLABS,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,GMRAIRPORT,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,BLUESTARCO,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,MANKIND,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,AUBANK,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,LENSKART,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,INDHOTEL,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,LTF,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,JINDALSTEL,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,RVNL,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,KALYANKJIL,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,YESBANK,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,DIVISLAB,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,INDUSINDBK,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,IDFCFIRSTB,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,SUPREMEIND,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,JSWSTEEL,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,BIOCON,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,SBILIFE,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,VMM,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,HAVELLS,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,INDUSTOWER,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,GODREJCP,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,GODFRYPHLP,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,NHPC,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,IREDA,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,SIEMENS,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,UPL,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,NAUKRI,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,ASTRAL,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,OBEROIRLTY,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,HUDCO,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,AMBUJACEM,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,EXIDEIND,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,PIDILITIND,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,ABCAPITAL,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,MFSL,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,ENRIN,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,ALKEM,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,JUBLFOOD,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,KPITTECH,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,MRF,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,PAGEIND,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,RADICO,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,SBICARD,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,FORTIS,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,COLPAL,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,LTM,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,NYKAA,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,PATANJALI,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,LICHSGFIN,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,360ONE,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,MOTILALOFS,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,PHOENIXLTD,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,SHREECEM,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,ICICIGI,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,IRCTC,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,TATAELXSI,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,ZYDUSLIFE,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,MPHASIS,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,M&MFIN,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,DABUR,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,OFSS,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,COROMANDEL,,2026-04-14T01:22:41.013948+00:00
