symbol,isin,company_name,is_owner_company,owner_family,owner_flag,owner_flag_final_hybrid,yaml_classification,promoter_total_pct,natural_pct_sum,in_rev1,rev1_category,is_nifty50,is_nifty100,is_nifty200,is_nifty500,is_nifty_total_mkt,nse_fetch_status
ABFRL,INE647O01011,Aditya Birla Fashion and Retail Limited,True,Birla|Bajaj,owner_confirmed_individual_and_director,OWNER,OWNER,46.61,0.26,True,Owner,False,False,False,True,True,ok
ABLBL,INE14LE01019,Aditya Birla Lifestyle Brands Limited,True,Birla|Bajaj,owner_confirmed_individual_and_director,OWNER,OWNER,46.6,0.27,False,,False,False,False,True,True,ok
GRASIM,INE047A01021,Grasim Industries Limited,True,Birla|Bajaj,owner_confirmed_individual_and_director,OWNER,OWNER,43.22,0.45,True,Owner,True,True,True,True,True,ok
HINDALCO,INE038A01020,Hindalco Industries Limited,True,Birla|Bajaj,owner_confirmed_individual_and_director,OWNER,OWNER,34.64,0.1699999999999999,True,Owner,True,True,True,True,True,ok
ULTRACEMCO,INE481G01011,UltraTech Cement Limited,True,Birla|Bajaj,owner_confirmed_individual_and_director,OWNER,OWNER,59.29,0.21,True,Owner,True,True,True,True,True,ok
AXISCADES,INE555B01013,AXISCADES Technologies Limited,True,Chandrasekhar (Jupiter),owner_confirmed_director_only,OWNER,OWNER,58.05,0.0,False,,False,False,False,False,True,ok
CYIENTDLM,INE055S01018,Cyient DLM Limited,True,Cyient (Mohan Reddy),owner_confirmed_director_only,OWNER,OWNER,52.12,0.0,True,Owner,False,False,False,False,False,ok
WAAREERTL,INE299N01021,Waaree Renewable Technologies Limited,True,Doshi (Waaree),owner_confirmed_director_only,OWNER,OWNER,74.32,1.06,False,,False,False,False,False,True,ok
JPPOWER,INE351F01018,Jaiprakash Power Ventures Limited,True,Gaur (Jaypee),owner_probable_relatives_trust,OWNER,OWNER,24.0,0.11,True,Owner,False,False,False,True,True,ok
CESC,INE486A01021,CESC Limited,True,Goenka (RPSG),owner_confirmed_individual_and_director,OWNER,OWNER,52.11,0.21,True,Owner,False,False,False,True,True,ok
FSL,INE684F01012,Firstsource Solutions Limited,True,Goenka (RPSG),owner_confirmed_director_only,OWNER,OWNER,53.66,0.02,True,Owner,False,False,False,True,True,ok
PCBL,INE602A01031,PCBL Chemical Limited,True,Goenka (RPSG),ambiguous_holding_indian,OWNER,OWNER,53.38,0.0,True,Owner,False,False,False,True,True,ok
SAREGAMA,INE979A01025,Saregama India Limited,True,Goenka (RPSG),owner_confirmed_director_only,OWNER,OWNER,60.39,0.88,True,Owner,False,False,False,True,True,ok
GLAND,INE068V01023,Gland Pharma Limited,True,Guo (Fosun),ambiguous_holding_foreign,OWNER,OWNER,51.83,0.0,True,Owner,False,False,False,True,True,ok
ROUTE,INE450U01017,ROUTE MOBILE LIMITED,True,Gupta (Route Mobile),ambiguous_holding_foreign,OWNER,OWNER,74.85,0.0,True,Owner,False,False,False,False,True,ok
ASHOKLEY,INE208A01029,Ashok Leyland Limited,True,Hinduja,excluded_no_natural_no_holding,OWNER,OWNER,51.51,0.01,True,Owner,False,False,True,True,True,ok
INDUSINDBK,INE095A01012,IndusInd Bank Limited,True,Hinduja,owner_confirmed_director_only,OWNER,OWNER,15.82,0.01,True,Owner,False,False,True,True,True,ok
REFEX,INE056I01025,Refex Industries Limited,True,Jain (Refex),owner_confirmed_director_only,OWNER,OWNER,55.8,0.3399999999999999,False,,False,False,False,False,True,ok
