item_id,meeting_date,meeting_title,doc_type,doc_date,filename,text_url,pdf_url,release_date
23152,1996-09-24,"Meeting, September 24, 1996",beige_book,1996-09-11,fomc19960924beige19960911.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19960924beige19960911.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19960924beige19960911.pdf,1996-09-11
23153,1996-11-13,"Meeting, November 13, 1996",beige_book,1996-10-30,fomc19961113beige19961030.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19961113beige19961030.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19961113beige19961030.pdf,1996-10-30
23154,1996-12-17,"Meeting, December 17, 1996",beige_book,1996-12-04,fomc19961217beige19961204.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19961217beige19961204.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19961217beige19961204.pdf,1996-12-04
22569,1997-02-04,"Meeting, February 4-5, 1997",beige_book,1997-01-22,fomc19970205beige19970122.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19970205beige19970122.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19970205beige19970122.pdf,1997-01-22
23161,1997-03-25,"Meeting, March 25, 1997",beige_book,1997-03-12,fomc19970325beige19970312.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19970325beige19970312.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19970325beige19970312.pdf,1997-03-12
23162,1997-05-20,"Meeting, May 20, 1997",beige_book,1997-05-07,fomc19970520beige19970507.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19970520beige19970507.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19970520beige19970507.pdf,1997-05-07
23163,1997-07-01,"Meeting, July 1-2, 1997",beige_book,1997-06-18,fomc19970702beige19970618.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19970702beige19970618.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19970702beige19970618.pdf,1997-06-18
22539,1997-08-19,"Meeting, August 19, 1997",beige_book,1997-08-06,fomc19970819beige19970806.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19970819beige19970806.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19970819beige19970806.pdf,1997-08-06
23228,1997-09-30,"Meeting, September 30, 1997",beige_book,1997-09-17,fomc19970930beige19970917.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19970930beige19970917.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19970930beige19970917.pdf,1997-09-17
23170,1997-11-12,"Meeting, November 12, 1997",beige_book,1997-10-29,fomc19971112beige19971029.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19971112beige19971029.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19971112beige19971029.pdf,1997-10-29
23171,1997-12-16,"Meeting, December 16, 1997",beige_book,1997-12-03,fomc19971216beige19971203.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19971216beige19971203.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19971216beige19971203.pdf,1997-12-03
23172,1998-02-03,"Meeting, February 3-4, 1998",beige_book,1998-01-21,fomc19980204beige19980121.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19980204beige19980121.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19980204beige19980121.pdf,1998-01-21
22568,1998-03-31,"Meeting, March 31, 1998",beige_book,1998-03-18,fomc19980331beige19980318.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19980331beige19980318.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19980331beige19980318.pdf,1998-03-18
22567,1998-05-19,"Meeting, May 19, 1998",beige_book,1998-05-06,fomc19980519beige19980506.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19980519beige19980506.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19980519beige19980506.pdf,1998-05-06
23180,1998-06-30,"Meeting, June 30-July 1, 1998",beige_book,1998-06-17,fomc19980701beige19980617.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19980701beige19980617.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19980701beige19980617.pdf,1998-06-17
23181,1998-08-18,"Meeting, August 18, 1998",beige_book,1998-08-05,fomc19980818beige19980805.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19980818beige19980805.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19980818beige19980805.pdf,1998-08-05
23233,1998-09-29,"Meeting, September 29, 1998",beige_book,1998-09-16,fomc19980929beige19980916.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19980929beige19980916.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19980929beige19980916.pdf,1998-09-16
22555,1998-11-17,"Meeting, November 17, 1998",beige_book,1998-11-04,fomc19981117beige19981104.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19981117beige19981104.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19981117beige19981104.pdf,1998-11-04
23235,1998-12-22,"Meeting, December 22, 1998",beige_book,1998-12-09,fomc19981222beige19981209.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19981222beige19981209.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19981222beige19981209.pdf,1998-12-09
23236,1999-02-02,"Meeting, February 2-3, 1999",beige_book,1999-01-20,fomc19990203beige19990120.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19990203beige19990120.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19990203beige19990120.pdf,1999-01-20
23237,1999-03-30,"Meeting, March 30, 1999",beige_book,1999-03-17,fomc19990330beige19990317.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19990330beige19990317.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19990330beige19990317.pdf,1999-03-17
22554,1999-05-18,"Meeting, May 18, 1999",beige_book,1999-05-05,fomc19990518beige19990505.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19990518beige19990505.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19990518beige19990505.pdf,1999-05-05
23182,1999-06-29,"Meeting, June 29-30, 1999",beige_book,1999-06-16,fomc19990630beige19990616.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19990630beige19990616.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19990630beige19990616.pdf,1999-06-16
23239,1999-08-24,"Meeting, August 24, 1999",beige_book,1999-08-11,fomc19990824beige19990811.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19990824beige19990811.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19990824beige19990811.pdf,1999-08-11
23185,1999-10-05,"Meeting, October 5, 1999",beige_book,1999-09-22,fomc19991005beige19990922.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19991005beige19990922.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19991005beige19990922.pdf,1999-09-22
23190,1999-11-16,"Meeting, November 16, 1999",beige_book,1999-11-03,fomc19991116beige19991103.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19991116beige19991103.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19991116beige19991103.pdf,1999-11-03
23191,1999-12-21,"Meeting, December 21, 1999",beige_book,1999-12-08,fomc19991221beige19991208.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19991221beige19991208.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19991221beige19991208.pdf,1999-12-08
23192,2000-02-01,"Meeting, February 1-2, 2000",beige_book,2000-01-19,fomc20000202beige20000119.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc20000202beige20000119.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc20000202beige20000119.pdf,2000-01-19
